product_id,brand_name,product_title,price,avg_product_rating,product_tags,product_url
4039424,Nykaa Naturals,Nykaa Naturals Calming Face Wash + Tea Tree & Salicylic Acid Spot Patch + Witch Hazel & AHA Sleeping Mask,311,3.8,,https://www.nykaa.com/nykaa-naturals-calming-face-wash-tea-tree-salicylic-acid-spot-patch-witch-hazel-aha-sleeping-mask/p/4039424
4060531,Nykaa Naturals,Nykaa Naturals Glow Boosting Skin Potion + Anti- Ageing Skin Potion Face Oil,1049,4.0,,https://www.nykaa.com/nykaa-naturals-glow-boosting-skin-potion-anti-ageing-skin-potion-face-oil/p/4060531
4060539,Nykaa Naturals,Nykaa Naturals Clay It Cool Daily Detox Clay Mask + Perfect Glow Clay Mask for Supple Skin,899,3.8,,https://www.nykaa.com/nykaa-naturals-clay-it-cool-daily-detox-clay-mask-perfect-glow-clay-mask/p/4060539
4148779,Nykaa Naturals,Nykaa Naturals Charcoal & Bamboo Shampoo And Hair Wrap Combo,723,4.0,,https://www.nykaa.com/nykaa-naturals-charcoal-bamboo-shampoo-and-hair-wrap-combo/p/4148779
4283093,Nykaa Naturals,Nykaa Naturals Mini Shampoo,99,3.7,,https://www.nykaa.com/nykaa-naturals-mini-shampoo/p/4283093
4315900,Nykaa Naturals,Nykaa Love Struck Tender Touch Shower Gel + Body Lotion + Perfume,1118,4.0,,https://www.nykaa.com/nykaa-naturals-love-struck-tender-touch-shower-gel-body-lotion-perfume/p/4315900
4394259,L'Oreal Paris,L'Oreal Paris Casting Creme Gloss Ultra Visible Conditioning Hair Color,650,4.1,,https://www.nykaa.com/l-oreal-paris-casting-creme-gloss-ultra-visible-conditioning-hair-color/p/4394259
4432091,Nykaa Cosmetics,Nykaa Mini Skinshield Anti-pollution Matte Foundation,169,4.1,,https://www.nykaa.com/nykaa-cosmetics-mini-skinshield-anti-pollution-matte-foundation/p/4432091
4518371,Kay Beauty,Kay Beauty Hd Liquid Concealer,679,4.4,"FEATURED, BESTSELLER",https://www.nykaa.com/kay-beauty-hd-liquid-concealer/p/4518371
4586552,Lakme,Lakme Perfect Definition Lipliner - Mauve Passion,260,3.3,,https://www.nykaa.com/lakme-perfect-definition-lipliner-mauve-passion/p/4586552
4613633,Nykaa Cosmetics,Nykaa Cosmetics So Matte Mini Nude Lipsticks - Bon Bon + Totes Natural + Cinnamon Crunch,448,3.8,,https://www.nykaa.com/nykaa-cosmetics-so-matte-everday-nudes/p/4613633
4613635,Nykaa Cosmetics,Nykaa Cosmetics Best Of Matte To Last In Minis- Janhvi + Madras Kaapi + Maharani,574,4.1,,https://www.nykaa.com/nykaa-cosmetics-best-of-matte-to-last-in-minis/p/4613635
4613636,Nykaa Cosmetics,Nykaa Cosmetics Puckers On With Matte To Last Liquid Lipstick- Begum + Boho + Maithili,502,2.9,,https://www.nykaa.com/nykaa-cosmetics-puckers-on-with-matte-to-last/p/4613636
4613638,Nykaa Cosmetics,Nykaa Cosmetics Ultra Matte Lipsticks - Grace + Marilyn + Neferti,574,4.1,,https://www.nykaa.com/nykaa-cosmetics-everyday-mattes-ultra-matte-grace-marilyn-neferti/p/4613638
4633369,Colorbar,Colorbar Mogra Mist - Scent Of An India Temple - 001,417,1.5,,https://www.nykaa.com/colorbar-mogra-mist-scent-of-an-india-temple-001/p/4633369
4639701,Lakme,Lakme Peach Milk Moisturizer Spf 24 Pa++,449,3.9,,https://www.nykaa.com/lakme-peach-milk-moisturizer-spf-24-pa/p/4639701
4641579,Nykaa Cosmetics,Nykaa Cosmetics Trending Neons Matte Nail Enamel - Cherry Pop + Lemonade Fizz + Pink Lemonade,448,4.1,,https://www.nykaa.com/nykaa-cosmetics-trending-neons-nail-enamel-combo/p/4641579
4692430,Nykaa Cosmetics,Nykaa Cosmetics Mini Skinshield Anti-pollution Matte Foundation - Very Vanilla 02,169,4.1,,https://www.nykaa.com/nykaa-cosmetics-mini-skinshield-anti-pollution-matte-foundation-very-vanilla-02/p/4692430
4719644,Herbal Essences,"Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens, No Colourants",533,4.7,"FEATURED, BESTSELLER",https://www.nykaa.com/herbal-essences-argan-oil-shampoo-conditioner-for-frizz-no-parabens-no-colourants/p/4719644
4719645,Herbal Essences,"Herbal Essences Strawberry Shampoo & Conditioner For Voluminous Hair - No Parabens, No Colourants",533,4.7,"FEATURED, BESTSELLER",https://www.nykaa.com/herbal-essences-strawberry-shampoo-conditioner-for-voluminous-hair-no-parabens-no-colourants/p/4719645
4749403,Maybelline New York,Maybelline New York Fit Me Compact Powder,450,3.9,,https://www.nykaa.com/maybelline-new-york-fit-me-compact-powder/p/4749403
4749405,Nykaa Cosmetics,Nykaa Cosmetics Breathable Nail Enamel Set Of 4- Downtime Daisy + Lazy Lilac + Sea Breeze+Stay Zen,637,4.0,,https://www.nykaa.com/nykaa-cosmetics-breathable-nail-enamel-set-of-4/p/4749405
4970778,Kay Beauty,Kay Beauty Glittery Glam Nails Look With Kay Beauty Nail Enamel Nail Polish,356,4.7,,https://www.nykaa.com/kay-beauty-glittery-glam-nails-look-with-kay-beauty-nail-enamel-nail-polish/p/4970778
